"Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm"

"Trà Vinh";20.4;18.5;18.0;17.0;15.0;13.9;12.9;12.9;12.5;12.3;12.1
"Vĩnh Long";12.3;13.0;13.0;12.0;11.5;11.1;10.9;10.6;10.3;10.1;9.9
"Đồng Tháp";16.1;15.5;18.0;16.0;14.0;12.7;12.5;12.5;12.1;11.9;11.7
"An Giang";20.9;20.6;21.0;17.0;15.8;14.2;15.2;15.1;14.6;14.4;14.1
"Kiên Giang";16.0;15.5;14.0;15.0;13.6;13.1;12.9;13.0;12.6;12.6;12.3
"Cần Thơ";10.0;13.7;10.0;9.6;9.0;9.2;9.9;9.8;9.5;9.3;9.1
"Hậu Giang";12.0;13.0;13.0;12.0;10.6;10.7;10.6;10.6;10.2;10.1;9.9
"Sóc Trăng";21.5;19.0;22.0;17.0;15.0;14.3;13.9;13.8;13.3;13.1;12.9
"Bạc Liêu";21.2;13.0;13.0;14.0;12.8;13.1;12.9;12.7;12.3;12.1;11.9
"Cà Mau";17.5;14.4;14.0;15.0;14.0;12.9;11.9;11.9;11.5;11.3;11.1

"Từ năm 2008 tới nay, số liệu thành phố Hà Nội bao gồm cả tỉnh "
"Hà Tây."

