"Số vụ ly hôn đã xét xử phân theo địa phương và phân theo cấp xét xử by Tỉnh, thành phố, Năm and Cấp xét xử"

" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"Sơ bộ 2017";" ";" "
" ";"Tổng số";"Cấp tỉnh";"Cấp huyện";"Tổng số";"Cấp tỉnh";"Cấp huyện";"Tổng số";"Cấp tỉnh";"Cấp huyện";"Tổng số";"Cấp tỉnh";"Cấp huyện";"Tổng số";"Cấp tỉnh";"Cấp huyện"
"Bà Rịa - Vũng Tàu";236;27;209;345;49;296;440;40;400;411;20;391;458;35;423
"TP. Hồ Chí Minh";1594;368;1226;1964;339;1625;2245;307;1938;2125;326;1799;2520;320;2200
"Đồng bằng sông Cửu Long";5729;348;5381;6030;350;5680;8348;391;7957;7793;479;7314;8830;553;8277
"Long An";634;18;616;650;24;626;907;11;896;871;16;855;976;26;950
"Tiền Giang";828;16;812;864;12;852;1146;7;1139;1140;13;1127;1251;15;1236
"Bến Tre";553;4;549;606;15;591;743;21;722;760;19;741;717;22;695
"Trà Vinh";220;27;193;299;48;251;322;39;283;345;33;312;474;49;425
"Vĩnh Long";508;81;427;478;56;422;529;54;475;694;76;618;729;74;655
"Đồng Tháp";296;3;293;341;1;340;494;3;491;412;1;411;485;25;460
"An Giang";435;12;423;468;10;458;753;25;728;570;29;541;661;40;621
"Kiên Giang";394;25;369;380;27;353;574;35;539;494;26;468;563;44;519
"Cần Thơ";398;36;362;459;37;422;575;38;537;583;78;505;607;82;525
"Hậu Giang";327;84;243;291;58;233;502;65;437;422;127;295;474;120;354
"Sóc Trăng";260;26;234;298;39;259;385;41;344;348;38;310;419;14;405
"Bạc Liêu";197;12;185;234;11;223;342;27;315;282;14;268;353;24;329
"Cà Mau";679;4;675;662;12;650;1076;25;1051;872;9;863;1121;18;1103

