"Tổng sản phẩm trong nước theo giá so sánh 2010 phân theo thành phần kinh tế và phân theo ngành kinh tế (Năm trước = 100) (*) by Loại hình, Chỉ tiêu and Năm"

" ";" ";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Sơ bộ 2017"
" ";"Dịch vụ lưu trú và ãn uống";117.04;112.42;112.82;108.74;102.29;108.69;107.81;107.32;109.89;104.57;102.29;106.70;108.98
" ";"Thông tin và truyền thông";116.24;109.68;110.64;110.50;107.17;108.18;108.31;110.23;108.73;108.68;108.52;108.20;107.36
" ";"Hoạt động tài chính, ngân hàng và bảo hiểm";109.37;108.18;108.84;110.15;108.70;108.35;107.45;105.58;106.88;105.83;107.38;107.79;108.14
" ";"Hoạt động kinh doanh bất động sản";104.76;106.99;105.13;105.37;104.33;103.41;103.80;101.32;102.17;102.80;102.96;103.99;104.07
" ";"Hoạt động chuyên môn, khoa học và công nghệ";108.27;104.84;105.63;104.13;104.29;104.54;106.40;107.32;107.37;106.97;106.80;107.00;107.20
" ";"Hoạt động hành chính và dịch vụ hỗ trợ";109.28;105.19;106.46;105.71;104.70;104.91;107.58;107.18;107.65;106.99;105.60;106.90;106.92
" ";"Hoạt động của Ðảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc";107.21;107.57;108.13;106.47;107.27;107.47;107.12;107.34;107.74;107.18;106.92;107.11;107.32
" ";"Giáo dục và đào tạo";108.26;108.42;108.75;107.97;106.56;106.95;107.28;107.41;108.05;107.41;107.01;107.24;107.40
" ";"Y tế và hoạt động trợ giúp xã hội";107.75;107.84;108.05;107.76;106.73;106.98;107.34;107.45;107.90;107.23;107.00;107.38;107.43
" ";"Nghệ thuật, vui chơi và giải trí";108.31;107.90;108.44;108.48;107.89;108.09;107.17;107.21;107.49;107.45;107.35;107.37;107.39
" ";"Hoạt động dịch vụ khác";106.33;107.48;108.08;106.42;106.26;106.75;106.34;105.90;107.73;106.45;105.91;106.40;106.62
" ";"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình";106.02;107.37;108.47;107.67;106.28;106.81;107.43;107.85;106.64;105.96;106.48;107.20;107.38
" ";"Thuế sản phẩm trừ trợ cấp sản phẩm";..;..;..;..;..;..;102.07;98.40;106.42;107.93;105.54;106.38;106.34

"(*) Bắt đầu từ năm 2010 giá trị tăng thêm của các khu vực kinh "
"tế được tính theo giá cơ bản."

